params=118.2M  attention=gated  block=2048  micro=16 accum=8 -> 262,144 tok/step  steps=3200
train_tokens=841,431,780  val_tokens=471,605  device=cuda
step   610 | loss 6.0003 | lr 2.88e-04 |   1822ms |  143.9k tok/s | mfu 32.7%
step   620 | loss 5.9303 | lr 2.87e-04 |   1821ms |  144.0k tok/s | mfu 32.7%
step   630 | loss 5.8730 | lr 2.87e-04 |   1820ms |  144.0k tok/s | mfu 32.7%
step   640 | loss 6.0070 | lr 2.86e-04 |   1820ms |  144.0k tok/s | mfu 32.7%
step   650 | loss 5.9352 | lr 2.85e-04 |   1820ms |  144.0k tok/s | mfu 32.7%
step   660 | loss 5.9266 | lr 2.85e-04 |   1820ms |  144.0k tok/s | mfu 32.7%
step   670 | loss 6.0346 | lr 2.84e-04 |   1822ms |  143.8k tok/s | mfu 32.7%
step   680 | loss 5.9045 | lr 2.83e-04 |   1821ms |  144.0k tok/s | mfu 32.7%
step   690 | loss 5.8671 | lr 2.83e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step   700 | loss 5.9411 | lr 2.82e-04 |   1821ms |  144.0k tok/s | mfu 32.7%
step   710 | loss 5.9116 | lr 2.81e-04 |   1822ms |  143.9k tok/s | mfu 32.7%
step   720 | loss 5.8565 | lr 2.80e-04 |   1823ms |  143.8k tok/s | mfu 32.7%
step   730 | loss 5.9190 | lr 2.80e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step   740 | loss 5.8541 | lr 2.79e-04 |   1821ms |  143.9k tok/s | mfu 32.7%
step   750 | loss 5.8700 | lr 2.78e-04 |   1822ms |  143.9k tok/s | mfu 32.7%
  [eval] step 750 val_loss 5.9774
step   760 | loss 5.8664 | lr 2.77e-04 |   1823ms |  143.8k tok/s | mfu 32.7%
step   770 | loss 5.7968 | lr 2.77e-04 |   1820ms |  144.1k tok/s | mfu 32.7%
step   780 | loss 5.7310 | lr 2.76e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step   790 | loss 5.8315 | lr 2.75e-04 |   1819ms |  144.1k tok/s | mfu 32.8%
step   800 | loss 5.8040 | lr 2.74e-04 |   1821ms |  143.9k tok/s | mfu 32.7%
step   810 | loss 5.7085 | lr 2.73e-04 |   1821ms |  144.0k tok/s | mfu 32.7%
step   820 | loss 5.6785 | lr 2.73e-04 |   1819ms |  144.1k tok/s | mfu 32.7%
step   830 | loss 5.8434 | lr 2.72e-04 |   1820ms |  144.0k tok/s | mfu 32.7%
step   840 | loss 5.7920 | lr 2.71e-04 |   1820ms |  144.0k tok/s | mfu 32.7%
step   850 | loss 5.7983 | lr 2.70e-04 |   1819ms |  144.1k tok/s | mfu 32.8%
