step   68 | reward 1.037 | acc 0.938 | pg +0.0001 | kl 0.0853 | loss +0.0035
step   69 | reward 0.673 | acc 0.573 | pg +0.0007 | kl 0.0435 | loss +0.0025
step   70 | reward 0.923 | acc 0.823 | pg +0.0016 | kl 0.0771 | loss +0.0047
step   71 | reward 0.881 | acc 0.781 | pg +0.0003 | kl 0.1328 | loss +0.0057
step   72 | reward 0.933 | acc 0.833 | pg -0.0006 | kl 0.1288 | loss +0.0046
step   73 | reward 0.996 | acc 0.896 | pg -0.0011 | kl 0.0882 | loss +0.0025
step   74 | reward 1.017 | acc 0.917 | pg -0.0011 | kl 0.1341 | loss +0.0043
step   75 | reward 0.944 | acc 0.844 | pg -0.0003 | kl 0.0680 | loss +0.0024
step   76 | reward 0.881 | acc 0.781 | pg +0.0037 | kl 0.0866 | loss +0.0072
step   77 | reward 0.819 | acc 0.719 | pg -0.0027 | kl 0.1169 | loss +0.0020
step   78 | reward 0.954 | acc 0.854 | pg +0.0007 | kl 0.1225 | loss +0.0056
step   79 | reward 0.996 | acc 0.896 | pg -0.0002 | kl 0.0848 | loss +0.0032
step   80 | reward 0.985 | acc 0.885 | pg -0.0036 | kl 0.0592 | loss -0.0012
step   81 | reward 0.902 | acc 0.802 | pg -0.0031 | kl 0.1619 | loss +0.0034
step   82 | reward 1.006 | acc 0.906 | pg -0.0001 | kl 0.0638 | loss +0.0025
step   83 | reward 0.902 | acc 0.802 | pg -0.0012 | kl 0.0962 | loss +0.0027
step   84 | reward 0.944 | acc 0.844 | pg -0.0007 | kl 0.1091 | loss +0.0037
step   85 | reward 1.006 | acc 0.906 | pg +0.0012 | kl 0.1902 | loss +0.0088
step   86 | reward 0.923 | acc 0.823 | pg -0.0013 | kl 0.1210 | loss +0.0035
step   87 | reward 0.944 | acc 0.844 | pg -0.0012 | kl 0.1158 | loss +0.0035
step   88 | reward 0.996 | acc 0.896 | pg -0.0010 | kl 0.0906 | loss +0.0026
step   89 | reward 0.829 | acc 0.729 | pg -0.0004 | kl 0.1595 | loss +0.0059
step   90 | reward 1.006 | acc 0.906 | pg -0.0008 | kl 0.0717 | loss +0.0021
step   91 | reward 0.912 | acc 0.812 | pg -0.0013 | kl 0.1750 | loss +0.0057
step   92 | reward 0.912 | acc 0.812 | pg -0.0006 | kl 0.1149 | loss +0.0040
step   93 | reward 1.017 | acc 0.917 | pg -0.0002 | kl 0.1287 | loss +0.0049
step   94 | reward 0.944 | acc 0.844 | pg -0.0012 | kl 0.0783 | loss +0.0020
step   95 | reward 0.840 | acc 0.740 | pg -0.0020 | kl 0.1657 | loss +0.0046
step   96 | reward 0.933 | acc 0.833 | pg -0.0000 | kl 0.0826 | loss +0.0033
step   97 | reward 0.944 | acc 0.844 | pg -0.0016 | kl 0.1169 | loss +0.0030
step   98 | reward 0.808 | acc 0.708 | pg -0.0018 | kl 0.1033 | loss +0.0024
step   99 | reward 0.808 | acc 0.708 | pg -0.0046 | kl 0.0761 | loss -0.0016
step  100 | reward 0.933 | acc 0.833 | pg -0.0005 | kl 0.0650 | loss +0.0021
step  101 | reward 0.985 | acc 0.885 | pg +0.0009 | kl 0.0906 | loss +0.0046
step  102 | reward 1.017 | acc 0.917 | pg -0.0012 | kl 0.0980 | loss +0.0027
step  103 | reward 1.017 | acc 0.917 | pg +0.0008 | kl 0.1089 | loss +0.0051
step  104 | reward 0.996 | acc 0.896 | pg -0.0013 | kl 0.0798 | loss +0.0019
step  105 | reward 0.912 | acc 0.812 | pg -0.0007 | kl 0.1160 | loss +0.0040
step  106 | reward 0.933 | acc 0.833 | pg -0.0017 | kl 0.1405 | loss +0.0039
step  107 | reward 0.871 | acc 0.771 | pg -0.0019 | kl 0.0934 | loss +0.0019
step  108 | reward 1.079 | acc 0.979 | pg -0.0006 | kl 0.0821 | loss +0.0027
step  109 | reward 0.860 | acc 0.760 | pg +0.0023 | kl 0.1528 | loss +0.0084
step  110 | reward 0.538 | acc 0.438 | pg -0.0003 | kl 0.0489 | loss +0.0017
step  111 | reward 0.871 | acc 0.771 | pg -0.0016 | kl 0.0452 | loss +0.0002
step  112 | reward 0.985 | acc 0.885 | pg -0.0010 | kl 0.0521 | loss +0.0011
step  113 | reward 1.058 | acc 0.958 | pg -0.0010 | kl 0.0719 | loss +0.0019
step  114 | reward 0.954 | acc 0.854 | pg +0.0005 | kl 0.0702 | loss +0.0033
step  115 | reward 1.027 | acc 0.927 | pg +0.0015 | kl 0.0816 | loss +0.0048
step  116 | reward 1.017 | acc 0.917 | pg -0.0022 | kl 0.0680 | loss +0.0005
step  117 | reward 0.965 | acc 0.865 | pg -0.0016 | kl 0.0889 | loss +0.0019
step  118 | reward 0.996 | acc 0.896 | pg -0.0003 | kl 0.0947 | loss +0.0034
step  119 | reward 0.985 | acc 0.885 | pg -0.0006 | kl 0.0635 | loss +0.0020
step  120 | reward 0.860 | acc 0.760 | pg +0.0028 | kl 0.1574 | loss +0.0090
step  121 | reward 0.923 | acc 0.823 | pg +0.0011 | kl 0.1942 | loss +0.0088
step  122 | reward 0.985 | acc 0.885 | pg -0.0032 | kl 0.0805 | loss +0.0000
step  123 | reward 1.037 | acc 0.938 | pg -0.0031 | kl 0.0796 | loss +0.0001
step  124 | reward 0.944 | acc 0.844 | pg -0.0012 | kl 0.0694 | loss +0.0016
step  125 | reward 0.975 | acc 0.875 | pg +0.0007 | kl 0.0684 | loss +0.0035
step  126 | reward 0.996 | acc 0.896 | pg -0.0022 | kl 0.1107 | loss +0.0023
step  127 | reward 0.881 | acc 0.781 | pg +0.0007 | kl 0.0815 | loss +0.0040
step  128 | reward 0.954 | acc 0.854 | pg +0.0021 | kl 0.0498 | loss +0.0041
step  129 | reward 0.746 | acc 0.646 | pg -0.0028 | kl 0.0446 | loss -0.0011
step  130 | reward 0.892 | acc 0.792 | pg -0.0034 | kl 0.0863 | loss +0.0001
step  131 | reward 1.006 | acc 0.906 | pg -0.0003 | kl 0.0704 | loss +0.0025
step  132 | reward 0.975 | acc 0.875 | pg +0.0016 | kl 0.1537 | loss +0.0078
step  133 | reward 0.871 | acc 0.771 | pg -0.0018 | kl 0.1253 | loss +0.0032
step  134 | reward 0.965 | acc 0.865 | pg -0.0019 | kl 0.1112 | loss +0.0025
step  135 | reward 1.048 | acc 0.948 | pg +0.0006 | kl 0.1323 | loss +0.0059
step  136 | reward 0.829 | acc 0.729 | pg -0.0021 | kl 0.0534 | loss +0.0000
step  137 | reward 0.860 | acc 0.760 | pg -0.0005 | kl 0.0782 | loss +0.0026
step  138 | reward 0.954 | acc 0.854 | pg -0.0008 | kl 0.0965 | loss +0.0031
step  139 | reward 0.985 | acc 0.885 | pg -0.0014 | kl 0.0468 | loss +0.0004
step  140 | reward 0.965 | acc 0.865 | pg -0.0043 | kl 0.0737 | loss -0.0014
step  141 | reward 1.016 | acc 0.917 | pg -0.0003 | kl 0.0955 | loss +0.0035
step  142 | reward 0.933 | acc 0.833 | pg -0.0011 | kl 0.0896 | loss +0.0025
step  143 | reward 0.902 | acc 0.802 | pg -0.0006 | kl 0.0971 | loss +0.0033
step  144 | reward 0.902 | acc 0.802 | pg +0.0034 | kl 0.0675 | loss +0.0061
step  145 | reward 0.944 | acc 0.844 | pg -0.0013 | kl 0.1067 | loss +0.0030
step  146 | reward 0.880 | acc 0.781 | pg -0.0018 | kl 0.0609 | loss +0.0007
step  147 | reward 0.975 | acc 0.875 | pg -0.0022 | kl 0.0992 | loss +0.0018
step  148 | reward 0.871 | acc 0.771 | pg -0.0013 | kl 0.0600 | loss +0.0011
step  149 | reward 0.923 | acc 0.823 | pg +0.0021 | kl 0.1648 | loss +0.0087
step  150 | reward 1.048 | acc 0.948 | pg +0.0009 | kl 0.0664 | loss +0.0036
step  151 | reward 1.048 | acc 0.948 | pg -0.0005 | kl 0.0688 | loss +0.0023
step  152 | reward 1.058 | acc 0.958 | pg +0.0010 | kl 0.0960 | loss +0.0048
step  153 | reward 0.880 | acc 0.781 | pg -0.0045 | kl 0.1649 | loss +0.0021
step  154 | reward 0.850 | acc 0.750 | pg +0.0000 | kl 0.0894 | loss +0.0036
step  155 | reward 1.027 | acc 0.927 | pg -0.0015 | kl 0.0965 | loss +0.0024
step  156 | reward 0.892 | acc 0.792 | pg +0.0006 | kl 0.0984 | loss +0.0046
step  157 | reward 0.996 | acc 0.896 | pg -0.0021 | kl 0.1607 | loss +0.0043
step  158 | reward 0.829 | acc 0.729 | pg -0.0013 | kl 0.0793 | loss +0.0018
step  159 | reward 1.037 | acc 0.938 | pg -0.0001 | kl 0.1254 | loss +0.0049
step  160 | reward 0.923 | acc 0.823 | pg -0.0020 | kl 0.1613 | loss +0.0044
step  161 | reward 1.037 | acc 0.938 | pg -0.0005 | kl 0.0692 | loss +0.0022
step  162 | reward 1.069 | acc 0.969 | pg -0.0005 | kl 0.0907 | loss +0.0031
step  163 | reward 0.923 | acc 0.823 | pg -0.0046 | kl 0.1100 | loss -0.0002
step  164 | reward 0.871 | acc 0.771 | pg -0.0012 | kl 0.0746 | loss +0.0018
step  165 | reward 1.079 | acc 0.979 | pg -0.0005 | kl 0.0830 | loss +0.0028
step  166 | reward 1.027 | acc 0.927 | pg -0.0007 | kl 0.0547 | loss +0.0014
step  167 | reward 0.944 | acc 0.844 | pg -0.0031 | kl 0.1046 | loss +0.0011
step  168 | reward 0.912 | acc 0.812 | pg -0.0034 | kl 0.1375 | loss +0.0021
step  169 | reward 1.048 | acc 0.948 | pg -0.0011 | kl 0.0740 | loss +0.0019
step  170 | reward 0.871 | acc 0.771 | pg +0.0010 | kl 0.0862 | loss +0.0044
step  171 | reward 0.892 | acc 0.792 | pg -0.0006 | kl 0.0699 | loss +0.0022
step  172 | reward 0.912 | acc 0.812 | pg -0.0014 | kl 0.0773 | loss +0.0017
step  173 | reward 1.017 | acc 0.917 | pg -0.0011 | kl 0.0687 | loss +0.0017
step  174 | reward 1.037 | acc 0.938 | pg -0.0009 | kl 0.0565 | loss +0.0014
step  175 | reward 1.006 | acc 0.906 | pg -0.0009 | kl 0.0679 | loss +0.0018
step  176 | reward 0.871 | acc 0.771 | pg -0.0017 | kl 0.1175 | loss +0.0030
step  177 | reward 0.954 | acc 0.854 | pg -0.0014 | kl 0.1099 | loss +0.0030
step  178 | reward 0.912 | acc 0.812 | pg -0.0012 | kl 0.0920 | loss +0.0025
step  179 | reward 1.069 | acc 0.969 | pg +0.0011 | kl 0.0619 | loss +0.0036
step  180 | reward 0.975 | acc 0.875 | pg -0.0003 | kl 0.1482 | loss +0.0056
step  181 | reward 1.048 | acc 0.948 | pg -0.0011 | kl 0.0896 | loss +0.0025
step  182 | reward 0.965 | acc 0.865 | pg +0.0010 | kl 0.0896 | loss +0.0046
step  183 | reward 0.871 | acc 0.771 | pg -0.0020 | kl 0.1168 | loss +0.0027
step  184 | reward 1.006 | acc 0.906 | pg -0.0009 | kl 0.1770 | loss +0.0061
step  185 | reward 1.006 | acc 0.906 | pg -0.0009 | kl 0.0732 | loss +0.0020
step  186 | reward 0.850 | acc 0.750 | pg -0.0018 | kl 0.1969 | loss +0.0061
step  187 | reward 1.027 | acc 0.927 | pg -0.0006 | kl 0.1046 | loss +0.0035
step  188 | reward 1.069 | acc 0.969 | pg -0.0008 | kl 0.0632 | loss +0.0018
step  189 | reward 0.985 | acc 0.885 | pg -0.0010 | kl 0.1158 | loss +0.0037
step  190 | reward 1.006 | acc 0.906 | pg -0.0011 | kl 0.1053 | loss +0.0032
step  191 | reward 0.985 | acc 0.885 | pg -0.0008 | kl 0.0429 | loss +0.0009
step  192 | reward 0.871 | acc 0.771 | pg -0.0000 | kl 0.0603 | loss +0.0024
step  193 | reward 0.944 | acc 0.844 | pg -0.0013 | kl 0.0994 | loss +0.0026
step  194 | reward 0.933 | acc 0.833 | pg -0.0015 | kl 0.0600 | loss +0.0009
step  195 | reward 1.058 | acc 0.958 | pg -0.0010 | kl 0.0503 | loss +0.0010
step  196 | reward 0.923 | acc 0.823 | pg -0.0013 | kl 0.1248 | loss +0.0037
step  197 | reward 1.069 | acc 0.969 | pg +0.0015 | kl 0.0574 | loss +0.0038
step  198 | reward 1.079 | acc 0.979 | pg -0.0004 | kl 0.1139 | loss +0.0041
step  199 | reward 1.079 | acc 0.979 | pg -0.0003 | kl 0.0328 | loss +0.0010
done. GRPO checkpoint -> checkpoints/grpo_add/ckpt.pt
